;ds;trend;additive_terms;additive_terms_lower;additive_terms_upper;weekly;weekly_lower;weekly_upper;multiplicative_terms;multiplicative_terms_lower;multiplicative_terms_upper;yhat_lower;yhat_upper;trend_lower;trend_upper;yhat
43;01/06/2020;406.536.195.964.346;-27.415.710.611.729;-27.415.710.611.729;-27.415.710.611.729;-27.415.710.611.729;-27.415.710.611.729;-27.415.710.611.729;0;0;0;-857.801.468.469.348;342.544.893.073.079;406.536.195.964.346;406.536.195.964.346;132.379.089.847.056
44;02/06/2020;410.939.082.083.246;171.757.523.687.137;171.757.523.687.137;171.757.523.687.137;171.757.523.687.137;171.757.523.687.137;171.757.523.687.137;0;0;0;36.892.546.710.275;813.458.577.558.035;410.939.082.083.246;410.939.082.083.246;582.696.605.770.383
45;03/06/2020;415.341.968.201.972;76.527.607.204.168;76.527.607.204.168;76.527.607.204.168;76.527.607.204.168;76.527.607.204.168;76.527.607.204.168;0;0;0;270.735.009.085.992;7.151.398.416.955;415.341.968.201.972;415.341.968.201.972;49.186.957.540.614
46;04/06/2020;419.744.854.320.697;118.531.878.449.954;118.531.878.449.954;118.531.878.449.954;118.531.878.449.954;118.531.878.449.954;118.531.878.449.954;0;0;0;328.707.401.768.767;75.630.077.945.428;419.744.854.320.697;419.744.854.320.697;538.276.732.770.651
47;05/06/2020;424.147.740.439.422;833.261.306.465.997;833.261.306.465.997;833.261.306.465.997;833.261.306.465.997;833.261.306.465.997;833.261.306.465.997;0;0;0;280.871.937.574.142;72.454.617.457.851;424.147.740.439.422;424.147.740.439.422;507.473.871.086.022
48;06/06/2020;428.550.613.254.784;429.198.828.306.572;429.198.828.306.572;429.198.828.306.572;429.198.828.306.572;429.198.828.306.572;429.198.828.306.572;0;0;0;253.631.268.865.503;689.983.256.265.301;428.550.613.254.784;428.550.613.254.784;471.470.496.085.441
49;07/06/2020;432.953.486.070.146;-218.905.916.702.355;-218.905.916.702.355;-218.905.916.702.355;-218.905.916.702.355;-218.905.916.702.355;-218.905.916.702.355;0;0;0;-142.076.173.683.693;438.263.644.426.939;432.953.486.070.146;432.953.486.070.146;214.047.569.367.791
50;08/06/2020;43.735.635.888.197;-274.157.106.117.179;-274.157.106.117.179;-274.157.106.117.179;-274.157.106.117.179;-274.157.106.117.179;-274.157.106.117.179;0;0;0;-657.274.948.246.269;384.655.378.849.821;43.735.635.888.197;43.735.635.888.197;163.199.252.764.791
51;09/06/2020;441.759.231.693.794;171.757.523.686.365;171.757.523.686.365;171.757.523.686.365;171.757.523.686.365;171.757.523.686.365;171.757.523.686.365;0;0;0;409.428.286.688.326;834.435.406.661.981;441.759.231.693.794;441.759.231.693.794;613.516.755.380.158
52;10/06/2020;446.162.104.502.183;765.276.072.042.128;765.276.072.042.128;765.276.072.042.128;765.276.072.042.128;765.276.072.042.128;765.276.072.042.128;0;0;0;319.050.234.276.486;739.228.233.150.721;446.162.104.502.183;446.162.104.502.183;522.689.711.706.396
